Rank,Name,Position,Team
1,Ja'Marr Chase,WR,CIN
2,Saquon Barkley,RB,PHI
3,Bijan Robinson,RB,ATL
4,CeeDee Lamb,WR,DAL
5,Justin Jefferson,WR,MIN
6,Jahmyr Gibbs,RB,DET
7,Christian McCaffrey,RB,SF
8,Amon-Ra St. Brown,WR,DET
9,Derrick Henry,RB,BAL
10,Malik Nabers,WR,NYG
11,Nico Collins,WR,HOU
12,Puka Nacua,WR,LAR
13,De'Von Achane,RB,MIA
14,Ashton Jeanty,RB,LV
15,Brian Thomas Jr.,WR,JAX
16,A.J. Brown,WR,PHI
17,Drake London,WR,ATL
18,Brock Bowers,TE,LV
19,Chase Brown,RB,CIN
20,Bucky Irving,RB,TB
21,Jonathan Taylor,RB,IND
22,Josh Jacobs,RB,LV
23,Ladd McConkey,WR,LAC
24,Tyreek Hill,WR,MIA
25,Trey McBride,TE,AZ
26,Tee Higgins,WR,CIN
27,Josh Allen,QB,BUF
28,Lamar Jackson,QB,BAL
29,Davante Adams,WR,LV
30,Kyren Williams,RB,LAR
31,Omarion Hampton,RB,LAC
32,Jalen Hurts,QB,PHI
33,Jayden Daniels,QB,WAS
34,James Cook,RB,BUF
35,George Kittle,TE,SF
36,Breece Hall,RB,NYJ
37,Marvin Harrison Jr.,WR,AZ
38,Mike Evans,WR,TB
39,Xavier Worthy,WR,KC
40,Jaxon Smith-Njigba,WR,SEA
41,Garrett Wilson,WR,NYJ
42,Kenneth Walker III,RB,SEA
43,DJ Moore,WR,CHI
44,Jameson Williams,WR,DET
45,Courtland Sutton,WR,DEN
46,Terry Mclaurin,WR,WAS
47,Tetairoa McMillan,WR,CAR
48,Devonta Smith,WR,PHI
49,Jaylen Waddle,WR,MIA
50,Chuba Hubbard,RB,CAR
51,George Pickens,WR,DAL
52,Calvin Ridley,WR,TEN
53,James Conner,RB,AZ
54,DK Metcalf,WR,PIT
55,Zay Flowers,WR,BAL
56,TreVeyon Henderson,RB,NE
57,Alvin Kamara,RB,NO
58,Rashee Rice,WR,KC
59,Sam Laporta,TE,DET
60,David Montgomery,RB,DET
61,Rome Odunze,WR,CHI
62,Travis Hunter,WR,JAX
63,Chris Olave,WR,NO
64,Tony Pollard,RB,TEN
65,Jakobi Meyers,WR,LV
66,Joe Burrow,QB,CIN
67,Jerry Jeudy,WR,CLE
68,Aaron Jones,RB,MIN
69,Deebo Samuel Sr.,WR,WAS
70,D'Andre Swift,RB,CHI
71,Jauan Jennings,WR,SF
72,Stefon Diggs,WR,NE
73,RJ Harvey,RB,DEN
74,Kaleb Johnson,RB,PIT
75,Emeka Egbuka,WR,TB
76,Ricky Pearsall,WR,SF
77,Jordan Mason,RB,MIN
78,Matthew Golden,WR,GB
79,Isiah Pacheco,RB,KC
80,T.J. Hockenson,TE,MIN
81,Jordan Addison,WR,MIN
82,Chris Godwin,WR,TB
83,Josh Downs,WR,IND
84,Brian Robinson Jr.,RB,WAS
85,Mark Andrews,TE,BAL
86,Jaylen Warren,RB,PIT
87,Patrick Mahomes,QB,KC
88,Travis Kelce,TE,KC
89,Bo Nix,QB,DEN
90,Kyler Murray,QB,AZ
91,Tyrone Tracy Jr.,RB,NYG
92,Michael Pittman Jr.,WR,IND
93,Khalil Shakir,WR,BUF
94,Baker Mayfield,QB,TB
95,Brock Purdy,QB,SF
96,Justin Fields,QB,NYJ
97,Jayden Reed,WR,GB
98,Joe Mixon,RB,HOU
99,Cooper Kupp,WR,SEA
100,Darnell Mooney,WR,ATL
101,Caleb Williams,QB,CHI
102,Dak Prescott,QB,DAL
103,Travis Etienne Jr.,RB,JAX
104,Evan Engram,TE,DEN
105,Zach Charbonnet,RB,SEA
106,Drake Maye,QB,NE
107,Tucker Kraft,TE,GB
108,Keon Coleman,WR,BUF
109,Jake Ferguson,TE,DAL
110,Tyler Warren,TE,IND
111,Colston Loveland,TE,CHI
112,Rashid Shaheed,WR,NO
113,J.K. Dobbins,RB,DEN
114,Jared Goff,QB,DET
115,David Njoku,TE,CLE
116,Justin Herbert,QB,LAC
117,Dalton Kincaid,TE,BUF
118,Dallas Goedert,TE,PHI
119,Jayden Higgins,WR,HOU
120,J.J. McCarthy,QB,MIN
121,Keenan Allen,WR,LAC
122,Rhamondre Stevenson,RB,NE
123,Cam Skattebo,RB,NYG
124,Christian Kirk,WR,HOU
125,Tank Bigsby,RB,JAX
126,Rashod Bateman,WR,BAL
127,Brandon Aiyuk,WR,SF
